Date,DIA.US.Index,CNYUSD.Curncy,EURUSD.Curncy,GDX.US.Equity,VIX.Index,VVIX.Index,SHCOMP.Index,TWSE.Index,SPX.Index,ADS_Index,Google trends,Sentiment Score,Bitcoin Core (BTC) Price
10/05/2019,259.92,0.14654,1.1233,20.28,16.04,96.01,2939.211,10712.99,2881.4,-0.455155,52,0,6129.95
13/05/2019,253.47,0.14538,1.1222,20.93,20.55,105.6,2903.713,10558.29,2811.87,-0.416894,88,0,7070.34
14/05/2019,255.81,0.14544,1.1204,20.84,18.06,97.26,2883.611,10519.25,2834.41,-0.404893,100,0.3612,7659.14
15/05/2019,256.92,0.14543,1.1201,20.79,16.44,94.53,2938.678,10560.71,2850.96,-0.39321,82,0,7976.19
16/05/2019,259.16,0.14527,1.1174,20.56,15.29,94.23,2955.711,10474.61,2876.32,-0.381841,74,0,8123.48
17/05/2019,257.44,0.14454,1.1158,20.75,15.96,99.12,2882.296,10384.11,2859.53,-0.370782,77,0,7949.55
20/05/2019,256.67,0.14467,1.1166,20.68,16.31,96.83,2870.604,10398.41,2840.23,-0.339155,62,0,7984.74
21/05/2019,258.77,0.14488,1.1161,20.71,14.95,92.38,2905.969,10464.5,2864.36,-0.328745,60,0,7942.32
22/05/2019,257.6,0.1448,1.115,20.36,14.75,89.3,2891.705,10457.22,2856.27,-0.318349,56,0,7947.65
23/05/2019,254.76,0.14471,1.1181,20.44,16.92,94.98,2852.515,10308.37,2822.24,-0.307964,50,17.2591,7700.18
24/05/2019,256.12,0.14492,1.1203,20.57,15.85,90.19,2852.995,10328.28,2826.06,-0.297586,47,0,7799.53
27/05/2019,256.12,0.14497,1.1194,20.57,15.85,90.19,2892.378,10334.13,2826.06,-0.266536,73,0.7506,8539.02
28/05/2019,253.47,0.14471,1.116,20.42,17.5,95.08,2909.911,10312.31,2802.39,-0.256294,63,0,8788.72
29/05/2019,251.27,0.14463,1.1131,20.42,17.9,93.83,2914.696,10301.78,2783.02,-0.246112,60,0,8689.91
30/05/2019,251.87,0.14489,1.1129,20.77,17.3,92.78,2905.805,10382.99,2788.86,-0.235987,63,0,8633.71
31/05/2019,248.22,0.14482,1.1169,21.59,18.71,96.72,2898.696,10498.49,2752.06,-0.225916,59,0,8408.12
03/06/2019,248.5,0.14485,1.1241,22.49,18.86,96.03,2890.081,10500.07,2744.45,-0.197692,29,0,8713.49
04/06/2019,253.65,0.14475,1.1252,22.59,16.97,88.93,2862.28,10429.12,2803.27,-0.18944,36,0,8250.16
05/06/2019,255.73,0.14474,1.1221,22.63,16.09,86.72,2861.418,10461.62,2826.15,-0.181752,29,0,7728.36
06/06/2019,257.72,0.14472,1.1276,22.87,15.93,84.84,2827.798,10409.2,2843.49,-0.174625,27,0,7771.55
