#NAME?,DIA US Index,CNYUSD Curncy,EURUSD Curncy,GBTC US Equity,ETHE US Equity,LTCN US Equity,CCRIXRP Index,Lumber prices,WTI Oil
DATES,"px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)"
24/09/2020,268.1,0.14644,1.1672,11.17,4.688888889,30.5,0.2254,319.8,25.634
25/09/2020,271.7,0.14655,1.1631,11.23,4.72,30,0.2367,319.8,25.634
28/09/2020,275.9,0.14681,1.1666,11.16,4.565555556,31,0.245,319.8,25.634
29/09/2020,274.42,0.14671,1.1744,11.03,4.444444444,33.9,0.2442,319.8,25.634
30/09/2020,277.5,0.14725,1.1721,10.97,4.255555556,35.22,0.2408,319.8,25.634
01/10/2020,278.14,0.14725,1.1748,10.87,4.388888889,35,0.2425,319.8,25.634
02/10/2020,276.8,0.14725,1.1716,10.86,4.333333333,32.09,0.2327,319.8,25.634
05/10/2020,281.51,0.14725,1.1783,11.28,4.537777778,31.7,0.2513,319.8,25.634
06/10/2020,277.72,0.14725,1.1734,10.845,4.433333333,31.7,0.2499,319.8,25.634
07/10/2020,282.92,0.14725,1.1763,10.97,4.748888889,29.5,0.2482,319.8,25.634
08/10/2020,284.29,0.14725,1.1759,11.86,5.522222222,33.5,0.2488,319.8,25.634
09/10/2020,285.93,0.14937,1.1826,11.77,6.022222222,33.25,0.2523,319.8,25.634
12/10/2020,288.46,0.14824,1.1813,12.665,6.249444444,34.23,0.2553,319.8,25.634
13/10/2020,286.74,0.14823,1.1746,12.38,5.711111111,34.8,0.2545,319.8,25.634
14/10/2020,285.13,0.14892,1.1746,12.2,5.387777778,34.3,0.2526,319.8,25.634
15/10/2020,285.04,0.14869,1.1708,12.45,5.443333333,38.75,0.2456,319.8,25.634
16/10/2020,285.97,0.14931,1.1718,12.43,5.627777778,38.75,0.2412,319.8,25.634
19/10/2020,282.03,0.14964,1.1769,12.83,5.755566667,40.5,0.2474,319.8,25.634
20/10/2020,282.95,0.14977,1.1822,13.305,5.542222222,44.8,0.2448,319.8,25.634
21/10/2020,281.97,0.15035,1.1861,14.295,6.412233333,49.9,0.2525,319.8,25.634
22/10/2020,283.65,0.1496,1.1818,14.625,7.444444444,68,0.2606,319.8,25.634
23/10/2020,283.34,0.14955,1.186,14.38,7.216666667,75.8,0.2556,319.8,25.634
26/10/2020,277,0.14898,1.181,14.38,6.38,68.5,0.2511,319.8,25.634
27/10/2020,274.66,0.14913,1.1796,15.67,6.888888889,80,0.2524,319.8,25.634
28/10/2020,265.48,0.14861,1.1746,14.91,6.25,70,0.246,319.8,25.634
29/10/2020,266.59,0.14892,1.1674,15.26,6.555555556,69.99,0.2454,319.8,25.634
30/10/2020,265.06,0.14943,1.1647,15.38,6.22,70.55,0.2379,319.8,25.634
02/11/2020,269.2,0.14945,1.1641,15.51,6.141111111,79,0.2357,319.8,25.634
03/11/2020,274.65,0.14975,1.1715,15.42,5.888888889,95,0.2391,319.8,25.634
04/11/2020,278.51,0.1503,1.1726,15.87,5.855555556,91.9999,0.2342,319.8,25.634
05/11/2020,283.91,0.15137,1.1826,17.27,6.26,125,0.2447,319.8,25.634
06/11/2020,283.22,0.15125,1.1874,17.54,6.694444444,73.01,0.2577,319.8,25.634
09/11/2020,291.72,0.15084,1.1813,17.09,6.692222222,95,0.2473,319.8,25.634
10/11/2020,294.51,0.15116,1.1815,16.51,6.718888889,83,0.2528,319.8,25.634
11/11/2020,294.11,0.1508,1.1777,17.525,7.082222222,115,0.2578,319.8,25.634
12/11/2020,291.05,0.15122,1.1806,18.24,6.888888889,133,0.2553,319.8,25.634
13/11/2020,295.15,0.15137,1.1834,17.96,7.062222222,145,0.2593,319.8,25.634
