,Annual.Hash.Growth,Block.Height,Block.Interval,Block.Size,Daily.Transactions,Difficulty,Fee.Percentage,Fee.Rate,Two.Week.Hash.Growth,Hash.Rate,Inflation.Rate,Price.Volatility,Bitcoin.Core..BTC..Price,Quarterly.Hash.Growth,Total.Transactions,Transaction.Size,Avg..UTXO.Amount,Velocity...Daily,Velocity...Quarterly,Velocity.of.Money,DIA.US.Index,CNYUSD.Curncy,EURUSD.Curncy,GDX.US.Equity,SHCOMP.Index,TWSE.Index,ADS_Index,Google.trends,Lumber.prices,WTI.Oil,Sentiment.Score,label,std_BTC_returns
20/02/2015,0.022947059,0.000482384,0.009746589,-0.106760507,-0.098373094,0,0.091353364,0.04,1.121526703,0.045279384,-0.000545908,-0.002903938,0.009273701,0.606421044,0.001562986,0.015789474,-0.000126855,-0.158006976,-0.006657403,0.000512957,0.005830418,0,0.001143561,-0.004381694,0,0,-0.001317498,0.618181818,-0.001349528,-0.016407432,0.0001,1.59963246,2.692799954
21/02/2015,0.019306561,0.000458915,0.055984556,0.219386039,0.058638063,0,-0.005852139,-0.038461538,-0.273426638,0.011059908,-0.000199409,-0.026277419,0.015996325,-0.031249121,0.001652054,0.160621762,0.001649328,0.132764612,-6.20E-05,0.000575572,0,0,0,0,0,0,0,-0.370786517,0,0,0.0001,0.49329935,2.340357425
22/02/2015,-0.03814841,0.000412254,0.109689214,0.050368231,-0.11134365,0,0.123970504,-0.08,-0.150250544,-0.016408386,-0.001023257,-0.017682127,0.004932994,-0.064688513,0.001465687,0.15327381,-0.002786574,-0.241120996,-0.000351594,8.22E-05,0,0,0,0,0,0,0,-0.053571429,0,0,0.0001,-2.806185061,1.675327936
23/02/2015,0.043672624,0.000438202,-0.069192751,-0.113689687,-0.040092844,0.050139231,0.238812252,0,0.675101676,0.017211329,-0.000633681,0.008607767,-0.028061851,0.071915788,0.001404864,-0.101935484,-0.00279436,-0.228416576,-0.003883667,-9.67E-06,-0.00121453,-0.000375281,-0.004041824,0.004400978,0,0,-0.014021867,-0.018867925,0.006081081,-0.024962536,0.0001,-0.113636364,1.886776703
24/02/2015,-0.039222034,0.000411903,0.069026549,0.156103506,0.234433055,0,-0.357168202,0.086956522,-0.21833215,-0.007179699,-0.001242107,-0.026328258,-0.001136364,0.087914369,0.001731778,-0.16091954,-0.000891606,0.860171034,-0.000913876,0.001343742,0.005472032,0.000312852,0.000441112,-0.005842259,0,0.010479028,-0.007442306,-0.057692308,-0.025520484,-0.003437816,0.0001,0.282307336,1.699099177
25/02/2015,-0.011741531,0.00037404,0.100993377,0.035456174,-0.013109867,0,0.184886582,0.04,-0.501758386,-0.012418238,-0.000878383,-0.014816173,0.002823073,-0.045541892,0.00170612,-0.039383562,0.000127486,-0.192222986,-0.004080566,-0.000492366,0.000274861,-0.00075061,0.001851852,0.018119491,-0.005563142,0.007287081,-0.008774418,-0.040816327,-0.020330806,0.034699675,0.0001,-0.441176471,1.636317477
26/02/2015,0.014311442,0.000460854,-0.181954887,-0.186052377,0.001278054,0,-0.091924573,0.038461538,-0.258731792,-2.59E-05,-0.000809519,-0.124782069,-0.004411765,-0.017440914,0.001705391,0.021390374,0.000254939,0.158260116,-0.002079954,-0.001202544,0.000274786,0.000250391,-0.014347329,0.008177008,0.021529384,-0.007983884,-0.010141341,-0.042553191,0.020049244,-0.055304962,0.0001,-0.46845326,1.329324701
27/02/2015,-0.018238078,0.000434567,0.058823529,0.051106094,-0.019745876,0,-0.342383593,-0.037037037,0.695683085,-0.00787926,-0.001045387,-0.039829368,-0.004684533,-0.164472501,0.001668871,0.010471204,0,0.442812047,-0.002100724,0.001397404,-0.004505247,-0.001314225,-0.000178603,0.015267176,0.003621499,0,-0.011551024,0.066666667,0.016551724,0.033008096,-0.8236,6.27968114,1.210880313
28/02/2015,-0.056239849,0.00044017,-0.024305556,0.051975665,0.023329914,0,-0.181711052,-0.038461538,0.415505062,0.001518438,-0.000863347,-0.076550894,0.062796811,-0.009820913,0.00170496,0.177892919,0.000509749,0.261378505,0.005189501,0.002863337,0,0,0,0,0,0,0,-0.083333333,0,0,0.087,1.141033313,2.907129249
01/03/2015,0.011060568,0.000411031,0.065836299,0.134329288,-0.150611643,0,1.186819874,-0.12,-0.085362738,0.006658516,-0.000331672,-0.022982837,0.011410333,-0.074398838,0.001445708,0.54398827,-0.001783212,-0.583564166,-0.004349426,-0.000187776,0,0,0,0,0,0,0,0.090909091,0,0,0.5719,1.546290087,2.82843153
02/03/2015,-0.013966583,0.000405075,0.033388982,-0.099425892,-0.000374519,0,-0.509412087,0.136363636,-0.449963242,-0.010731707,-0.000279395,0.000608116,0.015462901,0.043090823,0.00144308,-0.244064577,-0.002041598,1.11778646,-0.000175036,0.001516939,0.008223412,-0.001127961,-0.001071811,-0.02443609,0.007848828,-0.002155455,-0.040538837,0.0625,0.005088195,-0.003416399,0.0001,5.504408966,2.763928031
03/03/2015,0.026397313,0.000456971,-0.117932149,0.053348606,0.216871026,0,-0.226716706,-0.04,0.570759284,0.015779093,-0.00012227,-0.00223974,0.05504409,-0.007132955,0.001753512,-0.146984925,0.000767165,0.465912607,0.00545251,0.004428523,-0.004433983,-0.000564617,-0.000715308,-0.018304432,-0.021950163,0.00045931,-0.012547625,0,-0.012487344,0.018753781,0.0001,3.221649485,2.933800976
04/03/2015,0.012900117,0.000456762,-0.018315018,-0.025153351,0.03231886,0,0.765993081,0,0.434571985,0.02815534,-0.000139754,0.009871704,0.032216495,0.352604571,0.001807015,-0.060382916,0.001660917,-0.43868524,-0.001300673,-0.00027287,-0.005993292,0.001443726,-0.00876879,-0.016683023,0.005050485,0.001661501,-0.011498984,0.019607843,-0.011619959,0.019992082,0.0001,-2.200820403,2.301956404
05/03/2015,-0.024627978,0.000404541,0.119402985,-0.003361332,-0.105598033,0,0.112003323,0.083333333,-0.354067525,-0.017941454,-0.000594037,-0.022292067,-0.022008204,-0.117944442,0.001613283,0.043887147,0.000255102,-0.158526785,-0.002293298,-0.000574619,0.002157318,0.000877523,-0.004332912,0.001996008,-0.009469946,-0.002768733,-0.010412404,-0.019230769,-0.008298755,-0.014942752,0.0001,0.102122693,2.839008026
06/03/2015,-0.037396249,0.00038127,0.083333333,0.148007793,-0.013196985,0,-0.126923556,-0.076923077,-1.207746546,-0.017307692,-0.001057665,-0.011711434,0.001021227,-0.143938144,0.001589428,0.055555556,0.002295333,0.160406422,-0.000952883,0.001030118,-0.015289507,-0.000313126,-0.016863101,-0.074701195,-0.002243514,0.005281868,-0.009292406,0.215686275,-0.017433752,-0.022655634,0.0001,-0.426291627,2.939425217
07/03/2015,0.010916738,0.000427322,-0.1,-0.153900697,-0.039393381,0,0.421201988,0.166666667,1.351853903,-0.003913894,-0.000647521,-0.011894608,-0.004262916,0.11777387,0.001524392,0.031294452,0.002290076,-0.222432803,0.002061566,0.000440341,0,0,0,0,0,0,0,0,0,0,0.0001,0.819642138,3.083125682
08/03/2015,-0.025985324,0.000404051,0.051282051,-0.010258258,-0.027022994,0,-0.436934654,-0.142857143,-0.561498228,-0.001964636,-0.000831816,-0.040380915,0.008196421,0.214973396,0.001480941,-0.066206897,-0.002792587,0.415294615,0.00335975,-0.004784208,0,0,0,0,0,0,0,-0.14516129,0,0,0.0001,-0.181468443,1.976535362
09/03/2015,-0.018280843,0.000450046,-0.097560976,-0.066263614,-0.011876328,0.015919215,-0.463838621,0,-0.085336936,0.018192321,-0.000762402,0.001302125,-0.001814684,-0.077606085,0.001461189,0.064992614,-0.002673116,0.944617221,0.006152794,0.001956533,0.007847534,0.000563804,0.000737735,-0.03606028,0.018888136,-0.008583037,-0.022387213,-0.018867925,0.017033357,0.007861318,0.0001,4.352252482,1.121215124
10/03/2015,-0.013393855,0.00041524,0.063063063,0.233663618,0.185674687,0,1.3098629,0.041666667,0.403541381,-0.011317372,-0.000385877,0.017278959,0.043522525,-0.018664652,0.001729967,-0.074895978,0.000765795,-0.488588755,-0.000205415,0.000580536,-0.017296997,0.000125219,-0.014190933,-0.013400335,-0.004947905,-0.002765874,-0.007942868,0.173076923,-0.005582694,-0.0342,0.0001,2.303135889,1.967498917
11/03/2015,-0.021824939,0.000438127,-0.03220339,-0.123903582,-0.044858607,0,-0.027936056,0,-0.620354778,-0.003500551,-0.000614132,-0.007868076,0.023031359,-0.172925756,0.001649509,0.022488756,0.001785487,-0.056984579,-0.002740419,-0.001778958,-0.001924274,-0.000250407,-0.014114788,0.029994341,0.00147045,-0.00139988,-0.008450008,-0.032786885,-0.011929825,-0.002484987,0.0001,0.493852389,1.981232225
12/03/2015,-0.006783538,0.000443698,-0.031523643,0.091728335,0.012923565,0,0.308415919,-0.04,-2.952202865,0.016141711,-0.000851535,-0.017286271,0.004938524,0.095386949,0.001668075,0.046920821,0.003182686,-0.180209422,0.000533582,-0.00057643,0.014856819,-0.000500939,0.008343605,-0.007142857,0.017752894,0.007646605,-0.008976958,-0.118644068,-0.0078125,-0.023250986,0.0001,-0.128787365,1.807374202
13/03/2015,-0.005740391,0.000377264,0.198915009,0.020920953,-0.0951778,0,-0.272519006,0,0.855236429,0.001048057,-0.000869833,-0.002949431,-0.001287874,0.100331536,0.001506798,-0.008403361,0.002918782,0.167118722,0.000648846,-0.000264349,-0.007878415,0.000877083,-0.013070052,0,0.007042617,-0.001735098,-0.009513492,0.019230769,-0.01932713,-0.046971307,0.0001,-2.843762726,1.948435315
