Date,Trend
28-08-2016,37
29-08-2016,41
30-08-2016,40
31-08-2016,43
01-09-2016,44
02-09-2016,39
03-09-2016,40
04-09-2016,47
05-09-2016,45
06-09-2016,44
07-09-2016,44
08-09-2016,47
09-09-2016,45
10-09-2016,43
11-09-2016,41
12-09-2016,48
13-09-2016,46
14-09-2016,43
15-09-2016,46
16-09-2016,43
17-09-2016,40
18-09-2016,38
19-09-2016,42
20-09-2016,42
21-09-2016,46
22-09-2016,46
23-09-2016,42
24-09-2016,44
25-09-2016,39
26-09-2016,42
27-09-2016,42
28-09-2016,40
29-09-2016,41
30-09-2016,39
01-10-2016,40
02-10-2016,39
03-10-2016,42
04-10-2016,42
05-10-2016,42
06-10-2016,43
07-10-2016,45
08-10-2016,40
09-10-2016,40
10-10-2016,43
11-10-2016,50
12-10-2016,48
13-10-2016,45
14-10-2016,47
15-10-2016,42
16-10-2016,47
17-10-2016,45
18-10-2016,44
19-10-2016,45
20-10-2016,42
21-10-2016,41
22-10-2016,44
23-10-2016,46
24-10-2016,47
25-10-2016,45
26-10-2016,48
27-10-2016,51
28-10-2016,54
29-10-2016,63
30-10-2016,54
31-10-2016,55
01-11-2016,58
02-11-2016,55
03-11-2016,57
04-11-2016,54
05-11-2016,54
06-11-2016,51
07-11-2016,49
08-11-2016,51
09-11-2016,74
10-11-2016,51
11-11-2016,50
12-11-2016,50
13-11-2016,51
14-11-2016,52
15-11-2016,53
16-11-2016,55
17-11-2016,58
18-11-2016,59
19-11-2016,55
20-11-2016,53
21-11-2016,53
22-11-2016,55
23-11-2016,59
24-11-2016,58
25-11-2016,52
26-11-2016,49
27-11-2016,52
28-11-2016,55
29-11-2016,57
30-11-2016,52
01-12-2016,58
02-12-2016,61
03-12-2016,54
04-12-2016,51
05-12-2016,60
06-12-2016,54
07-12-2016,57
08-12-2016,59
09-12-2016,57
10-12-2016,52
11-12-2016,52
12-12-2016,56
13-12-2016,59
14-12-2016,57
15-12-2016,53
16-12-2016,54
17-12-2016,53
18-12-2016,51
19-12-2016,58
20-12-2016,59
21-12-2016,72
22-12-2016,85
23-12-2016,96
24-12-2016,77
25-12-2016,77
26-12-2016,76
27-12-2016,81
28-12-2016,96
29-12-2016,95
30-12-2016,84
31-12-2016,67
01-01-2017,14
02-01-2017,23
03-01-2017,21
04-01-2017,24
05-01-2017,29
06-01-2017,26
07-01-2017,22
08-01-2017,21
09-01-2017,19
10-01-2017,18
11-01-2017,20
12-01-2017,21
13-01-2017,17
14-01-2017,16
15-01-2017,15
16-01-2017,14
17-01-2017,16
18-01-2017,15
19-01-2017,15
20-01-2017,14
21-01-2017,14
22-01-2017,13
23-01-2017,14
24-01-2017,14
25-01-2017,13
26-01-2017,13
27-01-2017,13
28-01-2017,12
29-01-2017,12
30-01-2017,13
31-01-2017,14
01-02-2017,15
02-02-2017,15
03-02-2017,15
04-02-2017,14
05-02-2017,14
06-02-2017,15
07-02-2017,14
08-02-2017,15
09-02-2017,16
10-02-2017,15
11-02-2017,14
12-02-2017,13
13-02-2017,13
14-02-2017,14
15-02-2017,14
16-02-2017,15
17-02-2017,14
18-02-2017,14
19-02-2017,12
20-02-2017,14
21-02-2017,16
22-02-2017,16
23-02-2017,18
24-02-2017,21
25-02-2017,17
26-02-2017,16
27-02-2017,15
28-02-2017,17
01-03-2017,17
02-03-2017,21
03-03-2017,26
04-03-2017,23
05-03-2017,19
06-03-2017,19
07-03-2017,22
08-03-2017,22
09-03-2017,20
10-03-2017,27
11-03-2017,24
12-03-2017,19
13-03-2017,19
14-03-2017,18
15-03-2017,18
16-03-2017,17
17-03-2017,19
18-03-2017,22
19-03-2017,20
20-03-2017,18
21-03-2017,18
22-03-2017,18
23-03-2017,17
24-03-2017,18
25-03-2017,19
26-03-2017,18
27-03-2017,17
28-03-2017,16
29-03-2017,17
30-03-2017,15
31-03-2017,15
01-04-2017,16
02-04-2017,15
03-04-2017,16
04-04-2017,16
05-04-2017,15
06-04-2017,16
07-04-2017,16
08-04-2017,15
09-04-2017,15
