Date,DIA.US.Index,CNYUSD.Curncy,EURUSD.Curncy,ETHE.US.Equity,LTCN.US.Equity,CCRIXRP.Index,GDX.US.Equity,VIX.Index,VVIX.Index,SHCOMP.Index,TWSE.Index,SPX.Index,ADS_Index,Google trends,Sentiment Score
09/02/2015,177.09,0.15999,1.1325,NA,NA,NA,21.69,18.55,104.19,3095.124,9421.5,2046.74,-0.596781,63,0
10/02/2015,178.51,0.16025,1.1321,NA,NA,NA,21.28,17.23,97.33,3141.593,9393.7,2068.59,-0.599803,61,0
11/02/2015,178.7,0.16017,1.1336,NA,NA,NA,20.86,16.96,98.73,3157.704,9462.22,2068.53,-0.603159,51,0
12/02/2015,179.840125,0.1601,1.1403,NA,NA,NA,21.15,15.34,93.24,3173.416,9496.31,2088.48,-0.606851,57,0
13/02/2015,180.34,0.16014,1.1394,NA,NA,NA,21.26,14.69,92.74,3203.827,9529.51,2096.99,-0.610879,49,0
16/02/2015,180.34,0.16002,1.1355,NA,NA,NA,21.26,14.69,92.74,3222.363,9529.51,2096.99,-0.62355,53,0
17/02/2015,180.57,0.15975,1.1411,NA,NA,NA,20.57,15.8,92.95,3246.906,9529.51,2100.34,-0.626041,54,0
18/02/2015,180.47,0.15984,1.1397,NA,NA,NA,21.04,15.45,89.38,3246.906,9529.51,2099.68,-0.627426,50,0
19/02/2015,180.09,0.15988,1.1368,NA,NA,NA,20.54,15.29,87.6,3246.906,9529.51,2097.45,-0.627705,55,0
20/02/2015,181.14,0.15988,1.1381,NA,NA,NA,20.45,14.3,85.78,3246.906,9529.51,2110.3,-0.626878,89,0
23/02/2015,180.92,0.15982,1.1335,NA,NA,NA,20.54,14.56,86.13,3246.906,9529.51,2109.66,-0.618088,52,0
24/02/2015,181.91,0.15987,1.134,NA,NA,NA,20.42,13.69,82.65,3246.906,9629.37,2115.48,-0.613488,49,0
25/02/2015,181.96,0.15975,1.1361,NA,NA,NA,20.79,13.84,86.57,3228.843,9699.54,2113.86,-0.608105,47,0
26/02/2015,182.01,0.15979,1.1198,NA,NA,NA,20.96,13.91,86.93,3298.358,9622.1,2110.74,-0.601938,45,0
27/02/2015,181.19,0.15958,1.1196,NA,NA,NA,21.28,13.34,85.23,3310.303,9622.1,2104.5,-0.594985,48,-0.8236
02/03/2015,182.68,0.1594,1.1184,NA,NA,NA,20.76,13.04,81.84,3336.285,9601.36,2117.39,-0.570865,51,0
03/03/2015,181.87,0.15931,1.1176,NA,NA,NA,20.38,13.86,85.05,3263.053,9605.77,2107.78,-0.563702,51,0
04/03/2015,180.78,0.15954,1.1078,NA,NA,NA,20.04,14.23,84.1,3279.533,9621.73,2098.53,-0.55722,52,0
05/03/2015,181.17,0.15968,1.103,NA,NA,NA,20.08,14.04,81.26,3248.476,9595.09,2101.04,-0.551418,51,0
06/03/2015,178.4,0.15963,1.0844,NA,NA,NA,18.58,15.2,86.88,3241.188,9645.77,2071.26,-0.546294,62,0
09/03/2015,179.8,0.15972,1.0852,NA,NA,NA,17.91,15.06,85.55,3302.408,9562.98,2079.43,-0.534064,52,0
10/03/2015,176.69,0.15974,1.0698,NA,NA,NA,17.67,16.69,91.89,3286.068,9536.53,2044.16,-0.529822,61,0
11/03/2015,176.35,0.1597,1.0547,NA,NA,NA,18.2,16.87,97.28,3290.9,9523.18,2040.24,-0.525345,59,0
12/03/2015,178.97,0.15962,1.0635,NA,NA,NA,18.07,15.42,89.48,3349.323,9596,2065.95,-0.520629,52,0
13/03/2015,177.56,0.15976,1.0496,NA,NA,NA,18.07,16,93.12,3372.911,9579.35,2053.4,-0.515676,53,0
16/03/2015,179.78,0.15969,1.0568,NA,NA,NA,18.11,15.61,90.54,3449.305,9512.91,2081.19,-0.499499,54,0.3565
17/03/2015,178.5,0.16,1.0597,NA,NA,NA,17.93,15.66,88.25,3502.847,9539.44,2074.28,-0.49384,52,0
18/03/2015,180.73,0.16052,1.0864,NA,NA,NA,18.84,13.97,81.22,3577.302,9653.43,2099.5,-0.488067,59,0
19/03/2015,179.66,0.16144,1.066,NA,NA,NA,18.71,14.07,81.61,3582.271,9736.73,2089.27,-0.482179,60,0
20/03/2015,180.96,0.16117,1.0821,NA,NA,NA,19.33,13.02,80.49,3617.318,9749.69,2108.1,-0.476173,50,0
23/03/2015,180.85,0.1609,1.0946,NA,NA,NA,19.75,13.41,79.98,3687.728,9758.09,2104.42,-0.457834,49,0
24/03/2015,179.83,0.16111,1.0924,NA,NA,NA,19.64,13.62,80.04,3691.41,9731.66,2091.5,-0.452146,49,0
25/03/2015,176.92,0.16092,1.097,NA,NA,NA,19.36,15.44,83.52,3660.727,9667.83,2061.05,-0.446735,56,0
26/03/2015,176.48,0.16105,1.0884,NA,NA,NA,19.07,15.8,87.03,3682.095,9619.12,2056.15,-0.441598,52,0
27/03/2015,176.81,0.16086,1.0889,NA,NA,NA,18.84,15.07,86.5,3691.096,9503.72,2061.02,-0.436736,44,0
30/03/2015,179.39,0.1611,1.0833,NA,NA,NA,18.47,14.51,82.16,3786.568,9521.87,2086.24,-0.422544,58,0.1027
31/03/2015,177.58,0.16129,1.0731,NA,NA,NA,18.24,15.29,84.01,3747.899,9586.44,2067.89,-0.416299,50,0.4404
01/04/2015,176.74,0.16141,1.0763,NA,NA,NA,19.21,15.11,82.82,3810.294,9507.66,2059.69,-0.409089,51,0
02/04/2015,177.33,0.16128,1.088,NA,NA,NA,18.99,14.67,80.21,3825.784,9600.32,2066.96,-0.402016,46,0
03/04/2015,177.33,0.16269,1.0969,NA,NA,NA,18.99,14.67,80.21,3863.929,9600.32,2066.96,-0.395077,46,0
06/04/2015,178.59,0.16296,1.0922,NA,NA,NA,19.7,14.74,80.3,3863.929,9600.32,2080.62,-0.37489,46,0
07/04/2015,178.42,0.16139,1.0814,NA,NA,NA,19.19,14.78,79.7,3961.378,9641.9,2076.33,-0.368155,48,0
08/04/2015,178.75,0.16122,1.0781,NA,NA,NA,19.09,13.98,84.76,3994.811,9571.97,2081.9,-0.361388,51,0
09/04/2015,179.4,0.16124,1.0659,NA,NA,NA,18.91,13.09,80.71,3957.534,9568.04,2091.18,-0.354586,49,0
10/04/2015,180.37,0.16106,1.0604,NA,NA,NA,19.45,12.58,78.91,4034.309,9617.7,2102.06,-0.347748,48,0
13/04/2015,179.64,0.16084,1.0567,NA,NA,NA,19.26,13.94,83.8,4121.714,9666.52,2092.43,-0.327814,48,0
14/04/2015,180.18,0.16099,1.0655,NA,NA,NA,19.41,13.67,81.91,4135.565,9642.22,2095.84,-0.322448,49,0
15/04/2015,180.88,0.16118,1.0684,NA,NA,NA,19.98,12.84,79.83,4084.163,9540.06,2106.63,-0.317854,45,1.1042
16/04/2015,180.91,0.16131,1.0761,NA,NA,NA,19.74,12.6,79.78,4194.822,9656.87,2104.99,-0.314033,43,0
17/04/2015,177.94,0.16138,1.0806,NA,NA,NA,19.72,13.89,85.97,4287.295,9570.93,2081.18,-0.310981,44,0
20/04/2015,180.03,0.16131,1.0738,NA,NA,NA,19.83,13.3,81.48,4217.078,9552.85,2100.4,-0.307469,44,0
21/04/2015,179.26,0.16126,1.0736,NA,NA,NA,19.97,13.25,81.29,4293.623,9533.98,2097.29,-0.309547,49,2.0907
22/04/2015,180.06,0.16143,1.0725,NA,NA,NA,19.310125,12.71,79.7,4398.495,9613,2107.96,-0.313421,51,0
23/04/2015,180.37,0.16134,1.0824,NA,NA,NA,19.78,12.48,78.17,4414.507,9797.49,2112.93,-0.319093,45,0
24/04/2015,180.54,0.16146,1.0873,NA,NA,NA,19.36,12.29,76.43,4393.686,9913.28,2117.69,-0.326563,44,0
27/04/2015,180.17,0.16085,1.0891,NA,NA,NA,19.76,13.12,81.22,4527.396,9973.12,2108.92,-0.358771,45,0
28/04/2015,180.84,0.1612,1.0981,NA,NA,NA,20.53,12.41,77.68,4476.214,9956.83,2114.76,-0.371416,45,0
29/04/2015,180.07,0.16138,1.1128,NA,NA,NA,20.72,13.39,82.27,4476.62,9853.83,2106.85,-0.384851,44,0
30/04/2015,178.18,0.16127,1.1224,NA,NA,NA,20.11,14.55,87.08,4441.655,9820.05,2085.51,-0.39908,48,0
01/05/2015,179.9,0.16094,1.1199,NA,NA,NA,20.27,12.7,79.64,4441.655,9820.05,2108.29,-0.414108,45,0
04/05/2015,180.44,0.16105,1.1146,NA,NA,NA,20.41,12.85,78.56,4480.464,9845.04,2114.49,-0.456585,40,0
05/05/2015,179.01,0.16109,1.1185,NA,NA,NA,20.22,14.31,84.45,4298.706,9820.13,2089.46,-0.469553,42,19.9801
06/05/2015,178.39,0.16126,1.1347,NA,NA,NA,19.71,15.15,90.8,4229.266,9818.2,2080.15,-0.481891,47,0
07/05/2015,179.28,0.16114,1.1267,NA,NA,NA,19.83,15.13,89.21,4112.214,9704.11,2088,-0.493601,43,0.8555
08/05/2015,181.85,0.16113,1.1199,NA,NA,NA,19.97,12.86,79.44,4205.917,9692,2116.1,-0.504688,44,0
11/05/2015,181.08,0.16107,1.1155,NA,NA,NA,20.02,13.85,83.11,4333.584,9663.72,2105.33,-0.5342,43,0
12/05/2015,180.72,0.16106,1.1213,NA,NA,NA,20.29,13.86,84.64,4401.22,9680.73,2099.12,-0.542742,43,0
13/05/2015,180.75,0.16124,1.1354,NA,NA,NA,20.78,13.76,84.45,4375.76,9724.11,2098.48,-0.550635,46,0
14/05/2015,182.54,0.16125,1.141,NA,NA,NA,20.82,12.74,82.34,4378.312,9610.83,2121.1,-0.55788,59,0
15/05/2015,182.48,0.16115,1.1451,NA,NA,NA,20.72,12.38,80.93,4308.691,9579.48,2122.73,-0.56448,44,0
18/05/2015,182.68,0.16117,1.1315,NA,NA,NA,20.75,12.73,82.06,4283.491,9606.1,2129.2,-0.580425,43,0
19/05/2015,182.93,0.16113,1.115,NA,NA,NA,20,12.85,77.53,4417.552,9716.77,2127.83,-0.584459,47,0
20/05/2015,182.71,0.16125,1.1094,NA,NA,NA,20.08,12.88,77.03,4446.288,9685.31,2125.85,-0.587853,51,0
21/05/2015,182.79,0.16135,1.1112,NA,NA,NA,19.94,12.11,73.18,4529.421,9578.56,2130.82,-0.590609,49,0
22/05/2015,182.26,0.16136,1.1013,NA,NA,NA,19.83,12.13,75.98,4657.596,9638.8,2126.06,-0.592727,44,0
25/05/2015,182.26,0.16124,1.0978,NA,NA,NA,19.83,12.13,75.98,4813.797,9645.17,2126.06,-0.59575,48,0
26/05/2015,180.37,0.16118,1.0873,NA,NA,NA,19.245,14.06,81.94,4910.897,9669.41,2104.2,-0.596293,46,0
27/05/2015,181.52,0.16131,1.0904,NA,NA,NA,19.44,13.27,77.79,4941.714,9693.54,2123.48,-0.596684,46,0
28/05/2015,181.29,0.16119,1.0949,NA,NA,NA,19.6,13.31,77.35,4620.266,9712.84,2120.79,-0.596924,40,0
29/05/2015,180.11,0.16133,1.0986,NA,NA,NA,19.58,13.84,79.07,4611.744,9701.07,2107.39,-0.597013,47,0
01/06/2015,180.4,0.16127,1.0927,NA,NA,NA,19.49,13.97,78.89,4828.738,9625.69,2111.73,-0.595979,47,0
02/06/2015,180.15,0.16135,1.1151,NA,NA,NA,19.78,14.24,80.61,4910.527,9614.26,2109.6,-0.594228,43,0
03/06/2015,180.88,0.16133,1.1275,NA,NA,NA,19.41,13.66,79.27,4909.978,9556.52,2114.07,-0.591486,46,0
04/06/2015,179.21,0.16125,1.1238,NA,NA,NA,19.07,14.71,87.99,4947.102,9348.63,2095.84,-0.58775,44,0
05/06/2015,178.5,0.16125,1.1114,NA,NA,NA,18.83,14.21,84.1,5023.095,9340.13,2092.83,-0.583019,41,0
08/06/2015,177.81,0.16116,1.1291,NA,NA,NA,19.02,15.29,86.5,5131.881,9368.43,2079.28,-0.563369,40,0
09/06/2015,177.71,0.16117,1.1283,NA,NA,NA,18.78,14.47,84.34,5113.534,9191.87,2080.15,-0.555693,43,0
10/06/2015,180.06,0.16112,1.1324,NA,NA,NA,18.96,13.22,81.6,5106.036,9298.5,2105.2,-0.547537,43,0
11/06/2015,180.64,0.16108,1.1258,NA,NA,NA,18.74,12.85,79.53,5121.593,9302.49,2108.86,-0.5389,41,0
12/06/2015,179.13,0.16111,1.1266,NA,NA,NA,18.55,13.78,85.55,5166.35,9301.93,2094.11,-0.529777,44,2.844
15/06/2015,178.1,0.16107,1.1283,NA,NA,NA,18.59,15.39,96.12,5062.993,9259.48,2084.43,-0.498899,42,0.5859
16/06/2015,179.21,0.16105,1.1248,NA,NA,NA,18.33,14.81,95.96,4887.432,9212.78,2096.29,-0.486657,45,1.1718
17/06/2015,179.48,0.16104,1.1337,NA,NA,NA,18.86,14.5,93.19,4967.898,9189.83,2100.44,-0.473338,50,0
18/06/2015,181.33,0.16106,1.1359,NA,NA,NA,19.1,13.19,89.2,4785.356,9218.37,2121.24,-0.458939,90,0
19/06/2015,179.76,0.16103,1.1352,NA,NA,NA,18.64,13.96,92.16,4478.364,9218.37,2109.99,-0.443455,50,0
22/06/2015,180.92,0.16102,1.1341,NA,NA,NA,18.33,12.74,83.87,4478.364,9341.77,2122.85,-0.390514,43,0
23/06/2015,181.12,0.16109,1.1167,NA,NA,NA,18.38,12.11,78.85,4576.492,9391.14,2124.2,-0.370777,44,0
24/06/2015,179.41,0.16114,1.1205,NA,NA,NA,18.36,13.26,82.53,4690.15,9397.31,2108.58,-0.349997,44,0
25/06/2015,178.65,0.16106,1.1205,NA,NA,NA,18.17,14.01,83.51,4527.779,9476.34,2102.31,-0.328167,47,0
26/06/2015,179.13,0.16105,1.1167,NA,NA,NA,18.09,14.02,83.09,4192.873,9462.57,2101.49,-0.305281,42,-0.1531
29/06/2015,175.64,0.16107,1.1236,NA,NA,NA,17.9,18.85,117,4053.031,9236.1,2057.64,-0.229522,53,0
30/06/2015,175.82,0.16108,1.1147,NA,NA,NA,17.76,18.23,110.17,4277.222,9323.02,2063.11,-0.200954,67,0
01/07/2015,177.4,0.16128,1.1053,NA,NA,NA,17.28,16.09,97.6,4053.7,9375.23,2077.42,-0.170599,34,0
02/07/2015,177.05,0.1612,1.1084,NA,NA,NA,17.63,16.79,105.14,3912.767,9379.24,2076.78,-0.141193,35,0
03/07/2015,177.05,0.16117,1.1114,NA,NA,NA,17.63,16.79,105.14,3686.915,9358.23,2076.78,-0.112728,34,0.3127
06/07/2015,176.68,0.16107,1.1056,NA,NA,NA,17.85,17.01,105.97,3775.912,9255.96,2068.76,-0.0339157,42,0
07/07/2015,177.63,0.1613,1.1011,NA,NA,NA,16.98,16.09,99.35,3727.125,9250.16,2081.34,-0.0111771,38,0
08/07/2015,175,0.16106,1.1077,NA,NA,NA,16.86,19.66,111.67,3507.192,8976.11,2046.68,0.00963659,41,0
09/07/2015,175.26,0.16098,1.1036,NA,NA,NA,16.93,19.97,115.36,3709.331,8914.13,2051.31,0.0285319,37,72.7595
10/07/2015,177.41,0.16099,1.1162,NA,NA,NA,16.75,16.83,101.19,3877.803,8914.13,2076.62,0.0455145,40,0
13/07/2015,179.6,0.1611,1.1002,NA,NA,NA,16.8,13.9,85.95,3970.388,9033.92,2099.6,0.0844582,38,0
14/07/2015,180.33,0.16105,1.1009,NA,NA,NA,16.69,13.37,87.35,3924.487,9041.76,2108.95,0.0926819,34,0
15/07/2015,180.34,0.16106,1.095,NA,NA,NA,16.31,13.23,90.81,3805.703,9054.2,2107.4,0.0984355,33,0
16/07/2015,181.07,0.16099,1.0875,NA,NA,NA,16.15,12.11,87.12,3823.175,9042.21,2124.29,0.101721,33,0
17/07/2015,180.54,0.161,1.083,NA,NA,NA,15.42,11.95,85.32,3957.352,9045.98,2126.64,0.102539,31,0
20/07/2015,180.69,0.161,1.0825,NA,NA,NA,13.76,12.25,84.38,3992.109,8975,2128.28,0.0912261,33,2.2525
21/07/2015,178.97,0.161,1.0935,NA,NA,NA,14.12,12.22,82.56,4017.675,9005.96,2119.21,0.0842481,33,0
22/07/2015,178.3,0.16108,1.0929,NA,NA,NA,14.08,12.12,78.89,4026.045,8918.7,2114.15,0.0758365,31,0
23/07/2015,177.16,0.16094,1.0984,NA,NA,NA,13.62,12.64,81.64,4123.923,8791.12,2102.15,0.0659887,29,0
24/07/2015,175.52,0.16107,1.0984,NA,NA,NA,14.08,13.74,88.36,4070.908,8767.86,2079.65,0.0547018,31,0
27/07/2015,174.23,0.16106,1.1088,NA,NA,NA,13.57,15.6,97.32,3725.558,8556.68,2067.64,0.0120288,34,7.1837
28/07/2015,176.11,0.16106,1.106,NA,NA,NA,13.69,13.44,84.77,3663.002,8582.49,2093.25,-0.00533484,37,0
29/07/2015,177.26,0.1613,1.0984,NA,NA,NA,13.97,12.5,82.94,3789.168,8563.48,2108.57,-0.0242999,30,0
30/07/2015,177.22,0.16104,1.0932,NA,NA,NA,13.46,12.13,80.65,3705.766,8651.49,2108.63,-0.0448723,30,0
31/07/2015,176.68,0.16109,1.0984,NA,NA,NA,13.75,12.12,81.77,3663.725,8665.34,2103.84,-0.0670583,30,0
03/08/2015,175.75,0.16105,1.095,NA,NA,NA,13.27,12.56,79.43,3622.905,8524.41,2098.04,-0.135238,37,0
04/08/2015,175.32,0.16097,1.0881,NA,NA,NA,13.29,13,80.82,3756.545,8510.86,2093.32,-0.155702,37,0
05/08/2015,175.36,0.161,1.0906,NA,NA,NA,13.09,12.51,80.1,3694.574,8542.27,2099.84,-0.175025,33,0
06/08/2015,174.22,0.16103,1.0925,NA,NA,NA,13.37,13.77,84.36,3661.539,8449.56,2083.56,-0.193214,31,0
07/08/2015,173.84,0.16106,1.0967,NA,NA,NA,13.4,13.39,82.57,3744.205,8442.29,2077.57,-0.210275,30,3.0588
10/08/2015,176.19,0.16102,1.1019,NA,NA,NA,14.29,12.23,80.21,3928.415,8466.84,2104.18,-0.254697,31,0
11/08/2015,174.11,0.15809,1.1042,NA,NA,NA,14.52,13.71,85.22,3927.908,8394.14,2084.07,-0.267216,32,0
12/08/2015,174.21,0.15659,1.1159,NA,NA,NA,15.52,13.61,88.13,3886.32,8283.38,2086.05,-0.278593,31,0
13/08/2015,174.31,0.15626,1.115,NA,NA,NA,14.64,13.49,88.36,3954.556,8311.74,2083.39,-0.28883,33,0.9633
14/08/2015,174.9,0.15648,1.1109,NA,NA,NA,14.49,12.83,89.38,3965.335,8305.64,2091.54,-0.29793,29,0
17/08/2015,175.7,0.15635,1.1078,NA,NA,NA,15.04,13.02,87.35,3993.668,8213.42,2102.44,-0.318881,31,0
18/08/2015,175.33,0.1564,1.1024,NA,NA,NA,14.77,13.79,88.84,3748.164,8177.22,2096.92,-0.324348,35,-0.2023
19/08/2015,173.74,0.15631,1.112,NA,NA,NA,15.2,15.25,91.84,3794.109,8021.84,2079.61,-0.329134,44,0.8123
20/08/2015,170.22,0.15654,1.1242,NA,NA,NA,15.82,19.14,108.75,3664.291,8029.81,2035.73,-0.333241,38,0
21/08/2015,164.41,0.15657,1.1386,NA,NA,NA,15.39,28.03,138.57,3507.744,7786.92,1970.89,-0.336669,35,0
24/08/2015,158.38,0.15615,1.1619,NA,NA,NA,14.13,40.74,168.75,3209.905,7410.34,1893.21,-0.342456,42,0
25/08/2015,156.49,0.15595,1.1517,NA,NA,NA,13.67,36.02,152.42,2964.967,7675.64,1867.61,-0.342305,43,0
26/08/2015,162.66,0.15597,1.1314,NA,NA,NA,13.04,30.32,134.31,2927.288,7715.59,1940.51,-0.341042,34,0
27/08/2015,166.45,0.15616,1.1246,NA,NA,NA,13.79,26.1,128.59,3083.591,7824.55,1987.66,-0.338665,32,0
28/08/2015,166.33,0.15656,1.1185,NA,NA,NA,14.25,26.05,127.18,3232.349,8019.18,1988.87,-0.335174,33,0
31/08/2015,165.18,0.15684,1.1211,NA,NA,NA,14.11,28.43,127.28,3205.986,8174.92,1972.18,-0.318487,30,0
01/09/2015,160.46,0.15713,1.1315,NA,NA,NA,13.67,31.4,128.94,3166.624,8017.56,1913.85,-0.311485,29,0
02/09/2015,163.46,0.15734,1.1227,NA,NA,NA,13.63,26.09,114.43,3160.167,8035.29,1948.86,-0.305016,32,0
03/09/2015,163.67,0.15733,1.1123,NA,NA,NA,13.38,25.61,118.16,3160.167,8095.95,1951.13,-0.299077,29,0
04/09/2015,160.97,0.15698,1.1149,NA,NA,NA,13.39,27.8,123.15,3160.167,8000.6,1921.22,-0.293666,31,0
07/09/2015,160.97,0.15702,1.117,NA,NA,NA,13.39,27.8,123.15,3080.42,7986.56,1921.22,-0.280728,28,0
08/09/2015,164.91,0.15705,1.1203,NA,NA,NA,13.55,24.9,117.62,3170.452,8001.5,1969.41,-0.277692,30,0
09/09/2015,162.52,0.1568,1.1207,NA,NA,NA,13.13,26.23,131.3,3243.089,8286.92,1942.04,-0.275317,31,0
10/09/2015,163.39,0.15656,1.128,NA,NA,NA,13.12,24.37,127.06,3197.893,8268.68,1952.29,-0.2736,28,0
11/09/2015,164.39,0.15688,1.1338,NA,NA,NA,13.21,23.2,119.09,3200.234,8305.82,1961.05,-0.272542,27,0
14/09/2015,163.77,0.15702,1.1317,NA,NA,NA,13.07,24.25,118.01,3114.798,8307.29,1953.03,-0.272707,31,0.9872
15/09/2015,166.11,0.15701,1.1269,NA,NA,NA,13.11,22.54,109.34,3005.172,8259.99,1978.09,-0.273059,28,0
16/09/2015,167.51,0.15695,1.129,NA,NA,NA,13.89,21.35,107.02,3152.263,8333.29,1995.31,-0.273458,32,0
17/09/2015,166.81,0.15709,1.1435,NA,NA,NA,14.27,21.14,118.09,3086.061,8445.5,1990.2,-0.273904,31,0
18/09/2015,163.54,0.15714,1.1298,NA,NA,NA,14.48,22.28,116.26,3097.917,8462.14,1958.03,-0.274397,32,0
21/09/2015,164.9,0.15696,1.119,NA,NA,NA,14,20.14,103.4,3156.54,8307.04,1966.97,-0.276245,29,-0.6137
22/09/2015,163,0.15689,1.112,NA,NA,NA,13.36,22.44,111.36,3185.619,8365.92,1942.74,-0.277094,32,0
23/09/2015,162.59,0.15665,1.1186,NA,NA,NA,13.26,22.13,105.86,3115.888,8193.42,1938.76,-0.278075,32,0
24/09/2015,161.87,0.15673,1.123,NA,NA,NA,14.22,23.47,110.12,3142.687,8123.1,1932.24,-0.279188,30,7.1324
25/09/2015,162.88,0.15685,1.1195,NA,NA,NA,13.98,23.62,110.54,3092.347,8132.35,1931.34,-0.280432,31,0
28/09/2015,159.79,0.15709,1.1244,NA,NA,NA,13.32,27.63,115.31,3100.756,8132.35,1881.77,-0.285312,28,0
29/09/2015,160.23,0.15718,1.1249,NA,NA,NA,13.41,26.83,110.99,3038.137,8132.35,1884.09,-0.287795,29,0
30/09/2015,162.62,0.15732,1.1177,NA,NA,NA,13.74,24.5,103.28,3052.782,8181.24,1920.03,-0.290766,30,0
01/10/2015,162.49,0.15733,1.1195,NA,NA,NA,13.41,22.55,98.27,3052.782,8295.94,1923.82,-0.294226,27,0
02/10/2015,164.58,0.15729,1.1216,NA,NA,NA,14.49,20.94,95.07,3052.782,8305.03,1951.36,-0.298295,29,0
05/10/2015,167.58,0.15737,1.1188,NA,NA,NA,15.12,19.54,92.29,3052.782,8352.36,1987.05,-0.314038,29,0
06/10/2015,167.69,0.15728,1.1272,NA,NA,NA,15.68,19.4,92.46,3052.782,8394.1,1979.92,-0.320308,32,0
07/10/2015,168.95,0.15732,1.1237,NA,NA,NA,15.61,18.4,89.43,3052.782,8495.23,1995.83,-0.327071,29,3.4957
08/10/2015,170.37,0.15741,1.1276,NA,NA,NA,15.41,17.42,88.42,3143.357,8445.96,2013.43,-0.33433,31,0
09/10/2015,170.76,0.15761,1.1358,NA,NA,NA,16.26,17.08,89.08,3183.152,8445.96,2014.89,-0.342086,29,0
12/10/2015,171.17,0.15816,1.1358,NA,NA,NA,15.78,16.17,88.27,3287.662,8573.72,2017.46,-0.368333,30,0
13/10/2015,170.64,0.15766,1.1379,NA,NA,NA,15.87,17.67,98.35,3293.23,8567.92,2003.69,-0.378038,30,0
