#NAME?,GDX US Equity,VIX Index,VVIX Index,SHCOMP Index,TWSE Index,SPX Index,,,,,,
DATES,"px_last(dates=range(2015-01-01,2021-12-31),fill=prev)","px_last(dates=range(2015-01-01,2021-12-31),fill=prev)","px_last(dates=range(2015-01-01,2021-12-31),fill=prev)","px_last(dates=range(2015-01-01,2021-12-31),fill=prev)","px_last(dates=range(2015-01-01,2021-12-31),fill=prev)","px_last(dates=range(2015-01-01,2021-12-31),fill=prev)",,,,,,
07/03/2016,20.4,17.35,82.3,2897.34,8659.55,2001.76,,,,,,
08/03/2016,19.42,18.67,87.46,2901.387,8664.31,1979.26,,,,,,
09/03/2016,19.51,18.34,92.86,2862.556,8634.11,1989.26,,,,,,
10/03/2016,20.38,18.05,94.77,2804.725,8660.7,1989.57,,,,,,
11/03/2016,19.98,16.5,92.35,2810.308,8706.14,2022.19,,,,,,
14/03/2016,19.12,16.92,89.74,2859.499,8747.9,2019.64,,,,,,
15/03/2016,19.53,16.84,90.34,2864.368,8611.18,2015.93,,,,,,
16/03/2016,20.86,14.99,84.37,2870.43,8699.14,2027.22,,,,,,
17/03/2016,20.43,14.44,84.71,2904.832,8734.54,2040.59,,,,,,
18/03/2016,20.61,14.02,86.2,2955.15,8810.71,2049.58,,,,,,
21/03/2016,20.57,13.79,87.78,3018.802,8812.7,2051.6,,,,,,
22/03/2016,20.58,14.17,85.04,2999.363,8785.68,2049.8,,,,,,
23/03/2016,19.03,14.94,86.06,3009.96,8766.09,2036.71,,,,,,
24/03/2016,19.46,14.74,84.2,2960.97,8743.38,2035.94,,,,,,
25/03/2016,19.46,14.74,84.2,2979.434,8704.97,2035.94,,,,,,
28/03/2016,19.42,15.24,83.29,2957.82,8690.45,2037.05,,,,,,
29/03/2016,20.54,13.82,81.39,2919.832,8617.35,2055.01,,,,,,
30/03/2016,20.23,13.56,80.33,3000.645,8737.04,2063.95,,,,,,
31/03/2016,19.97,13.95,82.94,3003.915,8744.83,2059.74,,,,,,
01/04/2016,20.12,13.1,81.57,3009.53,8657.55,2072.78,,,,,,
04/04/2016,19.53,14.12,84.43,3009.53,8657.55,2066.13,,,,,,
05/04/2016,20.13,15.42,89.11,3053.065,8657.55,2045.17,,,,,,
06/04/2016,20.15,14.09,85.59,3050.592,8513.3,2066.66,,,,,,
07/04/2016,20.78,16.16,92.74,3008.42,8490.25,2041.91,,,,,,
08/04/2016,21.44,15.36,89.73,2984.958,8541.5,2047.6,,,,,,
11/04/2016,22.7,16.26,92.81,3033.957,8562.59,2041.99,,,,,,
12/04/2016,22.88,14.85,89.78,3023.647,8531.18,2061.72,,,,,,
13/04/2016,22.25,13.84,87.89,3066.638,8652.08,2082.42,,,,,,
14/04/2016,21.6,13.72,87.92,3082.362,8667.71,2082.78,,,,,,
15/04/2016,22.2,13.62,90.27,3078.116,8700.39,2080.73,,,,,,
18/04/2016,22.18,13.35,86.57,3033.66,8666.01,2094.34,,,,,,
19/04/2016,23.26,13.24,86.98,3042.823,8633.72,2100.8,,,,,,
20/04/2016,22.84,13.28,87.97,2972.584,8514.48,2102.4,,,,,,
21/04/2016,23.25,13.95,87.07,2952.891,8568.65,2091.48,,,,,,
22/04/2016,22.59,13.22,84.1,2959.24,8535.75,2091.58,,,,,,
25/04/2016,22.46,14.08,85.77,2946.67,8560.28,2087.79,,,,,,
26/04/2016,22.99,13.96,84.51,2964.7,8581.57,2091.7,,,,,,
27/04/2016,23.24,13.77,83.1,2953.671,8563.05,2095.15,,,,,,
28/04/2016,24.2775,15.22,87.36,2945.588,8473.87,2075.81,,,,,,
29/04/2016,25.83,15.7,91.68,2938.324,8377.9,2065.3,,,,,,
02/05/2016,25.39,14.68,89.49,2938.324,8377.9,2081.43,,,,,,
03/05/2016,24.66,15.6,91.66,2992.643,8294.12,2063.37,,,,,,
04/05/2016,23.41,16.05,91.86,2991.272,8185.47,2051.12,,,,,,
05/05/2016,24.18,15.91,91.58,2997.842,8167.96,2050.63,,,,,,
06/05/2016,25.13,14.72,88.86,2913.248,8146.43,2057.14,,,,,,
09/05/2016,23.52,14.57,86.42,2832.113,8131.83,2058.69,,,,,,
10/05/2016,24.4,13.63,85.92,2832.591,8156.29,2084.39,,,,,,
11/05/2016,25.05,14.69,91.53,2837.037,8135.56,2064.46,,,,,,
12/05/2016,24.55,14.41,91.25,2835.862,8108.05,2064.11,,,,,,
13/05/2016,24.79,15.04,94,2827.109,8053.69,2046.61,,,,,,
16/05/2016,25.24,14.68,90.61,2850.862,8067.6,2066.66,,,,,,
17/05/2016,25.58,15.57,91.76,2843.684,8140.48,2047.21,,,,,,
18/05/2016,23.56,15.95,89.99,2807.514,8159.68,2047.63,,,,,,
19/05/2016,23.96,16.33,90.46,2806.906,8095.98,2040.04,,,,,,
20/05/2016,24.05,15.2,85.46,2825.483,8131.26,2052.32,,,,,,
23/05/2016,23.78,15.82,84.12,2843.645,8344.44,2048.04,,,,,,
24/05/2016,22.47,14.42,79.48,2821.666,8300.66,2076.06,,,,,,
25/05/2016,23.03,13.9,78.54,2815.086,8396.2,2090.54,,,,,,
26/05/2016,22.95,13.43,77.48,2822.443,8394.12,2090.1,,,,,,
27/05/2016,22.28,13.12,76.17,2821.046,8463.61,2099.06,,,,,,
30/05/2016,22.28,13.12,76.17,2822.451,8535.87,2099.06,,,,,,
31/05/2016,22.58,14.19,79.43,2916.616,8535.59,2096.96,,,,,,
01/06/2016,22.72,14.2,78.93,2913.508,8597.16,2099.33,,,,,,
02/06/2016,22.77,13.63,79.54,2925.23,8556.02,2105.26,,,,,,
03/06/2016,25.33,13.47,79.08,2938.682,8587.36,2099.13,,,,,,
06/06/2016,25.45,13.65,80.71,2934.098,8597.11,2109.41,,,,,,
07/06/2016,25.11,14.05,82.3,2936.045,8679.9,2112.13,,,,,,
08/06/2016,25.93,14.08,86.61,2927.159,8715.48,2119.12,,,,,,
09/06/2016,26.33,14.64,89.98,2927.159,8715.48,2115.48,,,,,,
10/06/2016,25.96,17.03,103.78,2927.159,8715.48,2096.07,,,,,,
13/06/2016,25.91,20.97,124.56,2833.071,8536.22,2079.06,,,,,,
14/06/2016,25.34,20.5,116.44,2842.189,8576.12,2075.32,,,,,,
15/06/2016,26.32,20.14,114.23,2887.21,8606.37,2071.5,,,,,,
16/06/2016,25.485,19.37,115.47,2872.817,8494.14,2077.99,,,,,,
17/06/2016,25.79,19.41,115.72,2885.105,8568.08,2071.22,,,,,,
20/06/2016,25.64,18.37,112.4,2888.809,8625.92,2083.25,,,,,,
21/06/2016,24.93,18.48,113.46,2878.557,8684.85,2088.9,,,,,,
22/06/2016,25.5,21.17,122.94,2905.55,8716.25,2085.45,,,,,,
23/06/2016,25.22,17.25,104.71,2891.96,8676.68,2113.32,,,,,,
24/06/2016,26.71,25.76,125.13,2854.286,8476.99,2037.41,,,,,,
27/06/2016,27.06,23.85,115.6,2895.703,8458.87,2000.54,,,,,,
28/06/2016,26.6,18.75,108,2912.557,8505.51,2036.09,,,,,,
29/06/2016,27.15,16.64,98.6,2931.592,8586.56,2070.77,,,,,,
30/06/2016,27.71,15.63,94.23,2929.606,8666.58,2098.86,,,,,,
01/07/2016,29.05,14.77,91.7,2932.476,8738.24,2102.95,,,,,,
04/07/2016,29.05,14.77,91.7,2988.604,8760.58,2102.95,,,,,,
05/07/2016,29.64,15.58,91.85,3006.392,8716.07,2088.55,,,,,,
06/07/2016,30.57,14.96,89.24,3017.293,8575.75,2099.73,,,,,,
07/07/2016,29.61,14.76,89.5,3016.847,8640.91,2097.9,,,,,,
08/07/2016,30.54,13.2,84.72,2988.094,8640.91,2129.9,,,,,,
11/07/2016,30.6,13.54,84.78,2994.917,8786.47,2137.16,,,,,,
12/07/2016,29.4,13.55,84.98,3049.381,8841.46,2152.14,,,,,,
13/07/2016,30.37,13.04,84.18,3060.689,8857.75,2152.43,,,,,,
14/07/2016,30.21,12.82,86.03,3054.018,8866.36,2163.75,,,,,,
15/07/2016,29.87,12.67,89.04,3054.296,8949.85,2161.74,,,,,,
18/07/2016,29.98,12.44,87.2,3043.564,9008.21,2166.89,,,,,,
19/07/2016,29.67,11.97,89.03,3036.598,9034.87,2163.78,,,,,,
20/07/2016,27.99,11.77,87.09,3027.899,9007.68,2173.02,,,,,,
21/07/2016,28.87,12.74,92.84,3039.009,9056.56,2165.17,,,,,,
22/07/2016,28.78,12.02,89.51,3012.816,9013.14,2175.03,,,,,,
25/07/2016,27.73,12.87,91.95,3015.828,8991.67,2168.48,,,,,,
26/07/2016,28.5,13.05,91.44,3050.166,9024.79,2169.18,,,,,,
27/07/2016,29.8,12.83,91.23,2991.999,9063.39,2166.58,,,,,,
28/07/2016,29.75,12.72,89.81,2994.324,9076.64,2170.06,,,,,,
29/07/2016,30.59,11.87,90.84,2979.339,8984.41,2173.6,,,,,,
01/08/2016,30.93,12.44,90.68,2953.385,9080.71,2170.84,,,,,,
02/08/2016,31.32,13.37,93.89,2971.279,9068.76,2157.03,,,,,,
03/08/2016,30.94,12.86,88.59,2978.461,9001.71,2163.79,,,,,,
04/08/2016,31.23,12.42,88.14,2982.426,9024.71,2164.25,,,,,,
05/08/2016,30.23,11.39,85.23,2976.696,9092.12,2182.87,,,,,,
08/08/2016,30.5,11.5,84.5,3004.277,9150.26,2180.89,,,,,,
09/08/2016,30.76,11.66,86.65,3025.681,9155.08,2181.74,,,,,,
