Date,Sentiment
11-12-2009,0.9118
11-12-2009,0.9118
11-12-2009,0.9118
11-12-2009,0.9118
11-12-2009,0.9118
11-12-2009,0.9118
11-12-2009,0.9118
11-12-2009,0.9118
11-12-2009,0.9118
11-12-2009,0.9118
11-12-2009,0.9118
11-12-2009,0.9118
15-12-2009,0
17-12-2009,-0.5423
25-12-2009,0
27-12-2009,0
29-12-2009,0.7964
01-01-2010,0
02-01-2010,0.4215
04-01-2010,0.0516
11-01-2010,-0.3412
13-01-2010,0
15-01-2010,0.4404
15-01-2010,0
15-01-2010,0
15-01-2010,0
15-01-2010,0
15-01-2010,0
16-01-2010,0
17-01-2010,-0.4767
17-01-2010,0.5719
18-01-2010,0
21-01-2010,-0.2263
21-01-2010,-0.2263
27-01-2010,0
30-01-2010,0
01-02-2010,0.7964
01-02-2010,0.7964
02-02-2010,0.8225
02-02-2010,0
03-02-2010,0.4404
07-02-2010,0.3612
08-02-2010,0
11-02-2010,0
15-02-2010,0
22-02-2010,0.7783
22-02-2010,-0.4019
22-02-2010,0.1139
26-02-2010,0.3182
01-03-2010,0
02-03-2010,0
05-03-2010,0.4767
21-03-2010,0
27-03-2010,0.34
30-03-2010,0.2716
30-03-2010,0
05-04-2010,0
05-04-2010,-0.2732
06-04-2010,0.3818
12-04-2010,0
14-04-2010,0.128
15-04-2010,0
16-04-2010,0
19-04-2010,0.6705
19-04-2010,-0.3257
20-04-2010,0.3612
21-04-2010,0.5994
21-04-2010,0
21-04-2010,0
22-04-2010,0.5106
25-04-2010,-0.1779
25-04-2010,0
25-04-2010,-0.34
25-04-2010,0
27-04-2010,0.1531
30-04-2010,0.3612
30-04-2010,0.4404
30-04-2010,0
01-05-2010,0.5994
01-05-2010,0.5994
06-05-2010,-0.1531
06-05-2010,0
06-05-2010,0
06-05-2010,0
06-05-2010,-0.7269
06-05-2010,0
07-05-2010,0
07-05-2010,0.3818
09-05-2010,0
09-05-2010,0.6908
09-05-2010,0
09-05-2010,0
09-05-2010,0.0258
09-05-2010,0
09-05-2010,0
09-05-2010,0.9468
13-05-2010,0
13-05-2010,0.4404
13-05-2010,-0.6597
13-05-2010,0.1779
13-05-2010,-0.34
13-05-2010,0
13-05-2010,0.0772
14-05-2010,0.4215
14-05-2010,0.5859
23-05-2010,0.8402
27-05-2010,0.4939
27-05-2010,0.2023
27-05-2010,0.5859
27-05-2010,0.2023
27-05-2010,0
29-05-2010,0
02-06-2010,-0.5106
02-06-2010,0.5809
08-06-2010,0.4588
09-06-2010,0.2263
10-06-2010,0
12-06-2010,0.9201
19-06-2010,0
20-06-2010,0
20-06-2010,0
25-06-2010,0
26-06-2010,0.6249
28-06-2010,0
30-06-2010,0
30-06-2010,-0.6808
02-07-2010,0
03-07-2010,0
03-07-2010,0
05-07-2010,0
09-07-2010,0.4215
10-07-2010,0
10-07-2010,0
15-07-2010,0.3612
15-07-2010,0.3612
15-07-2010,0.3612
15-07-2010,0.3612
15-07-2010,0.3612
15-07-2010,0.3612
15-07-2010,0.3612
15-07-2010,0
15-07-2010,0.3612
15-07-2010,0.3612
15-07-2010,0.3612
15-07-2010,0.3818
17-07-2010,0.5106
17-07-2010,0
17-07-2010,0.1139
22-07-2010,0
22-07-2010,0
22-07-2010,0
22-07-2010,0
22-07-2010,0.7964
26-07-2010,0
28-07-2010,0.3612
28-07-2010,0.3612
28-07-2010,0.3612
28-07-2010,0.3612
28-07-2010,0.3612
28-07-2010,0.3612
28-07-2010,0.6486
29-07-2010,0
02-08-2010,0
05-08-2010,0.6486
07-08-2010,0
11-08-2010,0.2023
11-08-2010,0
17-08-2010,0
17-08-2010,0.7184
17-08-2010,0
20-08-2010,0
20-08-2010,0.4215
22-08-2010,0
23-08-2010,0
23-08-2010,0
23-08-2010,0
23-08-2010,0
23-08-2010,0
23-08-2010,0
23-08-2010,0.2023
23-08-2010,0
23-08-2010,0.4404
23-08-2010,0
26-08-2010,0
26-08-2010,0
26-08-2010,0
26-08-2010,0
29-08-2010,0
06-09-2010,0
11-09-2010,0
15-09-2010,0
16-09-2010,0
22-09-2010,0
22-09-2010,0
22-09-2010,0.0772
23-09-2010,0
24-09-2010,0
24-09-2010,0.2023
24-09-2010,0.2023
25-09-2010,0.4404
27-09-2010,0
28-09-2010,0
28-09-2010,0.3182
28-09-2010,0.9403
30-09-2010,0
01-10-2010,-0.4939
01-10-2010,-0.5574
12-10-2010,0.2263
13-10-2010,0.7964
14-10-2010,0
14-10-2010,0
14-10-2010,0.4215
14-10-2010,0.6908
14-10-2010,0.4215
14-10-2010,0.4939
14-10-2010,0.4215
22-10-2010,0
22-10-2010,0
25-10-2010,0
25-10-2010,0
25-10-2010,0
25-10-2010,0
27-10-2010,0.4939
31-10-2010,0.4404
02-11-2010,0.8059
02-11-2010,0.6486
02-11-2010,0.7096
02-11-2010,0.6486
02-11-2010,0.6249
02-11-2010,0
02-11-2010,0.0772
02-11-2010,0
03-11-2010,0.5994
09-11-2010,0
09-11-2010,0
12-11-2010,0
20-11-2010,-0.7717
21-11-2010,0.2023
22-11-2010,0
25-11-2010,0
28-11-2010,0
28-11-2010,0.3182
29-11-2010,0
30-11-2010,0
04-12-2010,0
09-12-2010,0
11-12-2010,0
14-12-2010,0
14-12-2010,0
16-12-2010,0
20-12-2010,0.0772
20-12-2010,0
22-12-2010,0
23-12-2010,0.6249
23-12-2010,0.6249
23-12-2010,0.296
23-12-2010,0
31-12-2010,0.6486
06-01-2011,0
13-01-2011,-0.3612
13-01-2011,0
13-01-2011,0
17-01-2011,0.0813
20-01-2011,0
20-01-2011,0.7964
24-01-2011,0.4215
26-01-2011,0
26-01-2011,0
29-01-2011,0
30-01-2011,0
01-02-2011,0.128
02-02-2011,0
03-02-2011,0.4215
03-02-2011,0.8481
04-02-2011,0
06-02-2011,0.4404
07-02-2011,-0.5574
10-02-2011,0
10-02-2011,0
20-02-2011,0
25-02-2011,0.8625
25-02-2011,0.8625
25-02-2011,0.8625
25-02-2011,0.8625
26-02-2011,0
26-02-2011,0.7351
26-02-2011,0
27-02-2011,0
27-02-2011,0
27-02-2011,0
27-02-2011,0
27-02-2011,0
27-02-2011,0
04-03-2011,0.1139
04-03-2011,0.9231
