,ADS_Index
21/03/1900,-0.685425
21/03/1900,-0.682936
21/03/1900,-0.678573
21/03/1900,-0.672334
21/03/1900,-0.664216
21/03/1900,-0.654218
21/03/1900,-0.642337
21/03/1900,-0.628569
21/03/1900,-0.612909
21/03/1900,-0.595353
21/03/1900,-0.575896
21/03/1900,-0.554531
21/03/1900,-0.531253
21/03/1900,-0.506053
21/03/1900,-0.478925
21/03/1900,-0.44986
21/03/1900,-0.418848
21/03/1900,-0.385882
21/03/1900,-0.35095
21/03/1900,-0.314042
21/03/1900,-0.275146
21/03/1900,-0.234252
21/03/1900,-0.191345
21/03/1900,-0.146414
21/03/1900,-0.102459
21/03/1900,-0.0594649
21/03/1900,-0.0174202
21/03/1900,0.0236885
21/03/1900,0.0638736
21/03/1900,0.103148
21/03/1900,0.141522
21/03/1900,0.179009
21/03/1900,0.21562
21/03/1900,0.251366
21/03/1900,0.286258
21/03/1900,0.320307
21/03/1900,0.353523
21/03/1900,0.385916
21/03/1900,0.417496
21/03/1900,0.448272
21/03/1900,0.478255
21/03/1900,0.507453
21/03/1900,0.535875
21/03/1900,0.56353
21/03/1900,0.590427
21/03/1900,0.616572
21/03/1900,0.641976
21/03/1900,0.666644
21/03/1900,0.690585
21/03/1900,0.713807
21/03/1900,0.736315
21/03/1900,0.758118
21/03/1900,0.779221
21/03/1900,0.799632
21/03/1900,0.819355
21/03/1900,0.838893
21/03/1900,0.858249
21/03/1900,0.877431
21/03/1900,0.896444
21/03/1900,0.915294
21/03/1900,0.933986
21/03/1900,0.952527
21/03/1900,0.970922
21/03/1900,0.989177
21/03/1900,1.0073
21/03/1900,1.02529
21/03/1900,1.04315
21/03/1900,1.0609
21/03/1900,1.07854
21/03/1900,1.09607
21/03/1900,1.11349
21/03/1900,1.13082
21/03/1900,1.14806
21/03/1900,1.16521
21/03/1900,1.18228
21/03/1900,1.19928
21/03/1900,1.2162
21/03/1900,1.23306
21/03/1900,1.24986
21/03/1900,1.2666
21/03/1900,1.2833
21/03/1900,1.29994
21/03/1900,1.31655
21/03/1900,1.33313
21/03/1900,1.34967
21/03/1900,1.36556
21/03/1900,1.3808
21/03/1900,1.3954
21/03/1900,1.40936
21/03/1900,1.42268
21/03/1900,1.43537
21/03/1900,1.44744
21/03/1900,1.45888
21/03/1900,1.4697
21/03/1900,1.47991
21/03/1900,1.4895
21/03/1900,1.49848
21/03/1900,1.50686
21/03/1900,1.51462
21/03/1900,1.52179
21/03/1900,1.52835
21/03/1900,1.53432
21/03/1900,1.53969
21/03/1900,1.54446
21/03/1900,1.54864
21/03/1900,1.55223
21/03/1900,1.55522
21/03/1900,1.55763
21/03/1900,1.55944
21/03/1900,1.56067
21/03/1900,1.5613
21/03/1900,1.56135
21/03/1900,1.56081
21/03/1900,1.55968
21/03/1900,1.55796
21/03/1900,1.55565
21/03/1900,1.55301
21/03/1900,1.55002
21/03/1900,1.5467
21/03/1900,1.54303
21/03/1900,1.53903
21/03/1900,1.53468
21/03/1900,1.52999
21/03/1900,1.52495
21/03/1900,1.51956
21/03/1900,1.51383
21/03/1900,1.50774
21/03/1900,1.50131
21/03/1900,1.49451
21/03/1900,1.48737
21/03/1900,1.47986
21/03/1900,1.47199
21/03/1900,1.46376
21/03/1900,1.45517
21/03/1900,1.4462
21/03/1900,1.43687
21/03/1900,1.42716
21/03/1900,1.41707
21/03/1900,1.4066
21/03/1900,1.39575
21/03/1900,1.38452
21/03/1900,1.37289
21/03/1900,1.36087
21/03/1900,1.34845
21/03/1900,1.33564
21/03/1900,1.32241
21/03/1900,1.30954
21/03/1900,1.29701
21/03/1900,1.28482
21/03/1900,1.27296
21/03/1900,1.26144
21/03/1900,1.25025
21/03/1900,1.23939
21/03/1900,1.22885
21/03/1900,1.21863
21/03/1900,1.20872
21/03/1900,1.19913
21/03/1900,1.18985
21/03/1900,1.18087
21/03/1900,1.17221
21/03/1900,1.16384
21/03/1900,1.15577
21/03/1900,1.148
21/03/1900,1.14053
21/03/1900,1.13335
21/03/1900,1.12646
21/03/1900,1.11985
21/03/1900,1.11354
21/03/1900,1.10751
21/03/1900,1.10176
21/03/1900,1.09629
21/03/1900,1.0911
21/03/1900,1.08619
21/03/1900,1.08155
21/03/1900,1.07719
21/03/1900,1.0731
21/03/1900,1.06929
21/03/1900,1.06459
21/03/1900,1.05901
21/03/1900,1.05254
21/03/1900,1.04519
21/03/1900,1.03694
21/03/1900,1.0278
21/03/1900,1.01777
21/03/1900,1.00684
21/03/1900,0.995002
21/03/1900,0.982263
21/03/1900,0.968615
21/03/1900,0.954053
21/03/1900,0.938574
21/03/1900,0.922172
21/03/1900,0.904842
21/03/1900,0.886579
21/03/1900,0.867378
21/03/1900,0.847233
21/03/1900,0.826137
21/03/1900,0.804085
21/03/1900,0.781068
21/03/1900,0.757081
21/03/1900,0.732116
21/03/1900,0.706166
21/03/1900,0.679222
21/03/1900,0.651276
21/03/1900,0.62232
21/03/1900,0.592345
21/03/1900,0.561341
21/03/1900,0.5293
21/03/1900,0.496211
21/03/1900,0.466
21/03/1900,0.438656
21/03/1900,0.414171
21/03/1900,0.392539
21/03/1900,0.373751
21/03/1900,0.357804
21/03/1900,0.344691
21/03/1900,0.334408
21/03/1900,0.326954
21/03/1900,0.322324
21/03/1900,0.320519
21/03/1900,0.321537
21/03/1900,0.325378
21/03/1900,0.332045
21/03/1900,0.341538
21/03/1900,0.353861
21/03/1900,0.369018
21/03/1900,0.387012
21/03/1900,0.407851
21/03/1900,0.431539
21/03/1900,0.458085
21/03/1900,0.487496
21/03/1900,0.519781
21/03/1900,0.55495
21/03/1900,0.593015
21/03/1900,0.633986
21/03/1900,0.677875
21/03/1900,0.724698
21/03/1900,0.774467
21/03/1900,0.827198
21/03/1900,0.878333
21/03/1900,0.927888
21/03/1900,0.975878
21/03/1900,1.02232
21/03/1900,1.06722
21/03/1900,1.1106
21/03/1900,1.15247
21/03/1900,1.19284
21/03/1900,1.23173
21/03/1900,1.26915
21/03/1900,1.30511
21/03/1900,1.33961
21/03/1900,1.37268
21/03/1900,1.40432
21/03/1900,1.43454
21/03/1900,1.46334
21/03/1900,1.49075
21/03/1900,1.51676
21/03/1900,1.54139
21/03/1900,1.56464
21/03/1900,1.58651
21/03/1900,1.60703
21/03/1900,1.62618
21/03/1900,1.64399
21/03/1900,1.66045
21/03/1900,1.67556
21/03/1900,1.68934
21/03/1900,1.70179
21/03/1900,1.71291
21/03/1900,1.7227
21/03/1900,1.73117
21/03/1900,1.73827
21/03/1900,1.74401
21/03/1900,1.74838
21/03/1900,1.7514
21/03/1900,1.75305
21/03/1900,1.75334
21/03/1900,1.75227
21/03/1900,1.74984
21/03/1900,1.74605
21/03/1900,1.7409
21/03/1900,1.73439
21/03/1900,1.72651
21/03/1900,1.71726
21/03/1900,1.70663
21/03/1900,1.69464
21/03/1900,1.68127
21/03/1900,1.66651
21/03/1900,1.65037
21/03/1900,1.63283
21/03/1900,1.6139
21/03/1900,1.59357
21/03/1900,1.57183
21/03/1900,1.54867
21/03/1900,1.52409
21/03/1900,1.49808
21/03/1900,1.47063
21/03/1900,1.44173
21/03/1900,1.41138
21/03/1900,1.37957
21/03/1900,1.34628
21/03/1900,1.31247
21/03/1900,1.27814
21/03/1900,1.24326
21/03/1900,1.20783
21/03/1900,1.17184
21/03/1900,1.13528
21/03/1900,1.09814
21/03/1900,1.0604
21/03/1900,1.02205
21/03/1900,0.983089
21/03/1900,0.943496
21/03/1900,0.90326
21/03/1900,0.862371
21/03/1900,0.820815
21/03/1900,0.778579
21/03/1900,0.735651
21/03/1900,0.692018
21/03/1900,0.647666
21/03/1900,0.602582
21/03/1900,0.556751
21/03/1900,0.510161
21/03/1900,0.462797
21/03/1900,0.414643
21/03/1900,0.365687
21/03/1900,0.315912
21/03/1900,0.265303
21/03/1900,0.213845
21/03/1900,0.161523
21/03/1900,0.10832
21/03/1900,0.0542203
21/03/1900,-0.000793
21/03/1900,-0.0512533
21/03/1900,-0.097176
21/03/1900,-0.138575
21/03/1900,-0.175463
21/03/1900,-0.207852
21/03/1900,-0.23575
21/03/1900,-0.259168
21/03/1900,-0.278111
21/03/1900,-0.292586
21/03/1900,-0.302597
21/03/1900,-0.308147
21/03/1900,-0.309238
21/03/1900,-0.30587
21/03/1900,-0.298042
21/03/1900,-0.285752
21/03/1900,-0.268995
21/03/1900,-0.247768
21/03/1900,-0.222063
21/03/1900,-0.191873
21/03/1900,-0.157188
21/03/1900,-0.117997
21/03/1900,-0.0742896
21/03/1900,-0.0260514
21/03/1900,0.0267321
