#NAME?,DIA US Index,CNYUSD Curncy,EURUSD Curncy,GBTC US Equity,ETHE US Equity,LTCN US Equity,CCRIXRP Index,,,,,,
DATES,"px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)",,,,,,
14/06/2016,176.81,0.15161,1.1207,1.236813187,#N/A,#N/A,#N/A,,,,,,
15/06/2016,176.57,0.15199,1.126,1.263736264,#N/A,#N/A,#N/A,,,,,,
16/06/2016,177.46,0.15179,1.1225,1.417582418,#N/A,#N/A,#N/A,,,,,,
17/06/2016,176.52,0.15189,1.1277,1.483516484,#N/A,#N/A,#N/A,,,,,,
20/06/2016,177.8,0.15198,1.1314,1.318681319,#N/A,#N/A,#N/A,,,,,,
21/06/2016,178.06,0.15168,1.1242,1.148351648,#N/A,#N/A,#N/A,,,,,,
22/06/2016,177.57,0.15216,1.1296,1.10989011,#N/A,#N/A,#N/A,,,,,,
23/06/2016,179.81,0.15197,1.1385,1.164835165,#N/A,#N/A,#N/A,,,,,,
24/06/2016,173.76,0.15101,1.1117,1.351648352,#N/A,#N/A,#N/A,,,,,,
27/06/2016,171.2,0.15027,1.1025,1.32967033,#N/A,#N/A,#N/A,,,,,,
28/06/2016,173.82,0.15033,1.1065,1.307142857,#N/A,#N/A,#N/A,,,,,,
29/06/2016,176.64,0.15071,1.1125,1.285714286,#N/A,#N/A,#N/A,,,,,,
30/06/2016,179,0.15057,1.1106,1.313736264,#N/A,#N/A,#N/A,,,,,,
01/07/2016,179.31,0.15023,1.1136,1.289450549,#N/A,#N/A,#N/A,,,,,,
04/07/2016,179.31,0.14994,1.1154,1.289450549,#N/A,#N/A,#N/A,,,,,,
05/07/2016,178.21,0.14973,1.1076,1.252747253,#N/A,#N/A,#N/A,,,,,,
06/07/2016,178.98,0.14942,1.11,1.285714286,#N/A,#N/A,#N/A,,,,,,
07/07/2016,178.79,0.14967,1.1063,1.247252747,#N/A,#N/A,#N/A,,,,,,
08/07/2016,181.3,0.14952,1.1051,1.314285714,#N/A,#N/A,#N/A,,,,,,
11/07/2016,182.12,0.14934,1.1058,1.324175824,#N/A,#N/A,#N/A,,,,,,
12/07/2016,183.39,0.14966,1.1061,1.307692308,#N/A,#N/A,#N/A,,,,,,
13/07/2016,183.6,0.14955,1.109,1.318681319,#N/A,#N/A,#N/A,,,,,,
14/07/2016,184.96,0.14966,1.112,1.313186813,#N/A,#N/A,#N/A,,,,,,
15/07/2016,184.88,0.14942,1.1035,1.318681319,#N/A,#N/A,#N/A,,,,,,
18/07/2016,185.08,0.14923,1.1075,1.291208791,#N/A,#N/A,#N/A,,,,,,
19/07/2016,185.42,0.14931,1.1021,1.137362637,#N/A,#N/A,#N/A,,,,,,
20/07/2016,185.78,0.14974,1.1015,1.153846154,#N/A,#N/A,#N/A,,,,,,
21/07/2016,184.98,0.14983,1.1026,1.164835165,#N/A,#N/A,#N/A,,,,,,
22/07/2016,185.51,0.14966,1.0977,1.153846154,#N/A,#N/A,#N/A,,,,,,
25/07/2016,184.81,0.14981,1.0995,1.142857143,#N/A,#N/A,#N/A,,,,,,
26/07/2016,184.6,0.14988,1.0986,1.148351648,#N/A,#N/A,#N/A,,,,,,
27/07/2016,184.58,0.14971,1.1058,1.098901099,#N/A,#N/A,#N/A,,,,,,
28/07/2016,184.38,0.15026,1.1077,1.04010989,#N/A,#N/A,#N/A,,,,,,
29/07/2016,184.13,0.15064,1.1174,1.043956044,#N/A,#N/A,#N/A,,,,,,
01/08/2016,183.87,0.15056,1.1163,0.956043956,#N/A,#N/A,#N/A,,,,,,
02/08/2016,182.97,0.15096,1.1224,0.901098901,#N/A,#N/A,#N/A,,,,,,
03/08/2016,183.36,0.15078,1.1149,0.989010989,#N/A,#N/A,#N/A,,,,,,
04/08/2016,183.45,0.15057,1.113,1.071428571,#N/A,#N/A,#N/A,,,,,,
05/08/2016,185.26,0.15029,1.1086,0.989010989,#N/A,#N/A,#N/A,,,,,,
08/08/2016,185.28,0.15021,1.1088,1.010989011,#N/A,#N/A,#N/A,,,,,,
09/08/2016,185.35,0.15026,1.1117,1.010989011,#N/A,#N/A,#N/A,,,,,,
10/08/2016,185.12,0.15068,1.1176,1.054945055,#N/A,#N/A,#N/A,,,,,,
11/08/2016,186.3,0.15082,1.1137,1.038461538,#N/A,#N/A,#N/A,,,,,,
12/08/2016,185.9,0.15058,1.1162,1.071428571,#N/A,#N/A,#N/A,,,,,,
15/08/2016,186.52,0.15063,1.1184,1.044505495,#N/A,#N/A,#N/A,,,,,,
16/08/2016,185.76,0.15097,1.1279,1.098791209,#N/A,#N/A,#N/A,,,,,,
17/08/2016,186.1,0.1504,1.1289,1.087912088,#N/A,#N/A,#N/A,,,,,,
18/08/2016,186.34,0.15081,1.1354,1.054945055,#N/A,#N/A,#N/A,,,,,,
19/08/2016,185.32,0.1504,1.1325,1.076923077,#N/A,#N/A,#N/A,,,,,,
22/08/2016,185.12,0.15035,1.132,1.043956044,#N/A,#N/A,#N/A,,,,,,
23/08/2016,185.3,0.15052,1.1305,0.978021978,#N/A,#N/A,#N/A,,,,,,
24/08/2016,184.66,0.15015,1.1264,0.901098901,#N/A,#N/A,#N/A,,,,,,
25/08/2016,184.37,0.15028,1.1285,0.868131868,#N/A,#N/A,#N/A,,,,,,
26/08/2016,183.82,0.14996,1.1198,0.911758242,#N/A,#N/A,#N/A,,,,,,
29/08/2016,184.83,0.14972,1.1189,0.917582418,#N/A,#N/A,#N/A,,,,,,
30/08/2016,184.51,0.1496,1.1143,0.934065934,#N/A,#N/A,#N/A,,,,,,
31/08/2016,183.94,0.14975,1.1158,0.901098901,#N/A,#N/A,#N/A,,,,,,
01/09/2016,184.1,0.14994,1.1197,0.868131868,#N/A,#N/A,#N/A,,,,,,
02/09/2016,184.86,0.14965,1.1156,0.88021978,#N/A,#N/A,#N/A,,,,,,
05/09/2016,184.86,0.14977,1.1147,0.88021978,#N/A,#N/A,#N/A,,,,,,
06/09/2016,185.32,0.14977,1.1255,0.983516484,#N/A,#N/A,#N/A,,,,,,
07/09/2016,185.32,0.15009,1.1239,1.027472527,#N/A,#N/A,#N/A,,,,,,
08/09/2016,184.82,0.15004,1.126,1.058241758,#N/A,#N/A,#N/A,,,,,,
09/09/2016,180.91,0.14952,1.1233,1.011098901,#N/A,#N/A,#N/A,,,,,,
12/09/2016,183.3,0.1497,1.1235,0.956043956,#N/A,#N/A,#N/A,,,,,,
13/09/2016,180.8,0.14975,1.122,1,#N/A,#N/A,#N/A,,,,,,
14/09/2016,180.43,0.14988,1.125,1.002747253,#N/A,#N/A,#N/A,,,,,,
15/09/2016,182.26,0.14984,1.1244,0.961538462,#N/A,#N/A,#N/A,,,,,,
16/09/2016,180.97,0.14992,1.1155,0.956263736,#N/A,#N/A,#N/A,,,,,,
19/09/2016,180.98,0.14995,1.1175,0.993736264,#N/A,#N/A,#N/A,,,,,,
20/09/2016,181.05,0.14993,1.1151,0.986263736,#N/A,#N/A,#N/A,,,,,,
21/09/2016,182.66,0.15002,1.1189,1.021978022,#N/A,#N/A,#N/A,,,,,,
